,premise,hypothesis,label,reviwers_output,confuse_sentence,low_quality
1714,O presidente está participando de uma reunião,O presidente está lendo um livro,2,Neutral,OK,N
1715,O garoto está sentado na poltrona e desenhando em seu caderno,O garoto está desenhando um retrato de seu cachorro no caderno.,2,Neutral,OK,N
1716,Uma modelo está posando com um brinco de gota de rubi cercado por esmeraldas,Está ocorrendo uma sessão de fotos com uma modelo que usa uma joia valiosa,1,Entailment,OK,N
1717,A mulher é uma jornalista.,A mulher é uma engenheira,0,Contradiction,OK,N
1718,Seis pessoas estão próximas a pés de licuri em um ambiente de solo seco e pouca vegetação,Há um grupo de indivíduos em uma área de clima árido perto de árvores de licuri,1,Entailment,OK,N
1719,A menina criou uma montagem com fotos de várias pessoas,A menina tem fotos de várias pessoas,1,Entailment,OK,N
1720,Xadrez está sendo disputado por dois adversários habilidosos,Há uma partida de xadrez em andamento entre dois jogadores habilidosos.,1,Entailment,OK,N
1721,Um garoto adolescente está posicionado em um aparelho de ginástica,Um garoto está fazendo exercícios físicos.,2,Neutral,OK,N
1722,Cavalos estão disputando em uma corrida de obstáculos,Animais estão participando de uma competição.,1,Entailment,OK,N
1723,O goleiro está segurando a bola ao lado da baliza,O goleiro está sem a bola e longe da baliza,0,Contradiction,OK,N
1724,Os dois filhos estão sentados na cadeira de almoço enquanto o narrador segura seu prato de comida saborosa,O narrador está preparando mais comida na cozinha,2,Neutral,OK,N
1725,Três adolescentes e um homem estão competindo em um torneio de games online,Há uma competição de games online acontecendo,1,Entailment,OK,N
1726,Algumas pessoas estão usando tênis de corrida enquanto participam de uma maratona.,Pessoas estão participando de uma maratona com tênis de corrida.,1,Entailment,OK,N
1727,Um bolo está sendo preparado por uma mulher,Não há um bolo sendo feito,0,Contradiction,OK,N
1728,"A pessoa está se sentindo confiante e desfrutando de uma refeição fora de casa, vestindo óculos escuros e exibindo muita atitude","A pessoa está se sentindo insegura e não está desfrutando de sua refeição em um restaurante, e não está usando óculos escuros",0,Contradiction,OK,N
1729,A favela é observada à distância em um dia ensolarado com céu azul,Há pássaros voando sobre a favela,2,Neutral,OK,N
1730,Um garoto de calça jeans está pulando,O garoto de calça jeans está pulando em um trampolim.,2,Neutral,OK,N
1731,Duas meninas estão usando vestidos azuis e estão empurrando animadamente um balanço em um parque de grama verde,Existem meninas se divertindo num parque,1,Entailment,OK,N
1732,Ninguém está mexendo em nenhum relógio,Alguém está montando um quebra-cabeça,2,Neutral,OK,N
1733,O tenista não está acertando a bola na linha de fundo da quadra,O tenista está acertando a bola diretamente na linha de fundo da quadra.,0,Contradiction,OK,N
1734,"Uma mulher está sorrindo com a cabeça voltada para o lado, posicionada em frente a diversos quadros de pintura coloridos",Uma mulher está usando um vestido azul em frente a diversos quadros de pintura coloridos,2,Neutral,OK,N
1735,"Um cavalheiro jovem, com cabelos negros curtos, está vestindo uma camisa branca, uma gravata azul e um relógio prateado, e está rindo",Um cavalheiro jovem está usando um par de sapatos pretos brilhantes.,2,Neutral,OK,N
1736,"O sujeito vestindo colete jeans e uma blusa vermelha está sozinho, sem público.",O sujeito está em um parque.,2,Neutral,OK,N
1737,O barco está ancorado no porto.,O barco ancorado pertence a um milionário.,2,Neutral,OK,N
1738,Mais de dez jovens estão realizando um movimento da modalidade Kung Fu,Nenhum jovem está praticando Kung Fu,0,Contradiction,OK,N
1739,Uma mulher de máscara e luvas está segurando uma seringa,A mulher de máscara e luvas está em um consultório médico,2,Neutral,OK,N
1740,Uma menina branca e loira está sentada em uma cadeira na loja,A menina de cabelos loiros está sentada numa loja,1,Entailment,OK,N
1741,O tenista não está acertando a bola na linha de fundo da quadra,O tenista está usando um tênis branco.,2,Neutral,OK,N
1742,"A estátua é visível junto à enseada , com um pôr do sol ao fundo",É possível ver a estátua junto à enseada durante o pôr do sol.,1,Entailment,OK,N
1743,"Um cliente está em um corredor de supermercado cheio de alimentos, usando uma calculadora enquanto faz compras",O cliente está comprando frutas e legumes no supermercado,2,Neutral,OK,N
1744,As chamas de uma fogueira são o foco principal,As chamas de uma fogueira não são visíveis,0,Contradiction,OK,N
1745,Uma mulher está pintando um quadro em seu estúdio,A mulher não está fazendo nenhuma pintura no momento,0,Contradiction,OK,N
1746,Uma mãe ajuda sua criança a jogar bola de basquete na cesta,O pai está assistindo à criança jogar basquete.,2,Neutral,OK,N
1747,Alguém está ajustando as velas do barco agora.,Uma pessoa está no barco agora.,2,Neutral,OK,N
1748,Duas fadas estão espalhando sonhos nas crianças adormecidas,As fadas estão voando ao redor do quarto.,2,Neutral,OK,N
1749,Dois pedaços de carne estão sendo assados na grelha,Nada está sendo assado na grelha,0,Contradiction,OK,N
1750,O rei senta-se em seu trono com sua coroa,O rei está vestindo um manto vermelho.,2,Neutral,OK,N
1751,Uma batata frita está sendo preparada ao ser mergulhada e frita no óleo,Uma batata frita está sendo assada no forno.,0,Contradiction,OK,N
1752,Não há ninguém esquiando em uma montanha coberta de neve,A montanha coberta de neve está vazia.,1,Entailment,OK,N
1753,O garoto moreno com a camiseta azul não está gargalhando e não está vestindo uma peruca colorida com orelhas exageradamente grandes,O garoto moreno com a camiseta azul está rindo e usando uma peruca colorida com orelhas grandes,0,Contradiction,OK,N
1754,Acredite que você inspira pessoas que agem como se não notassem sua presença,Você tem um cachorro como animal de estimação,2,Neutral,OK,N
1755,Uma mulher em uma jaqueta amarela está focada na tela do seu notebook,Uma mulher vestindo uma jaqueta amarela está concentrada em seu computador portátil,1,Entailment,OK,N
1756,O post apresenta diferentes formas de utilizar o algodão,O post fornece várias maneiras de usar o algodão,1,Entailment,OK,N
1757,Uma mulher reflete sobre o que mais é possível que ela nunca considerou,A mulher não está pensando em nada.,0,Contradiction,OK,N
1758,Um homem está comendo uma laranja,O homem gosta de frutas cítricas,2,Neutral,OK,N
1759,A mulher de cabelos grisalhos está parada no ônibus,A mulher de cabelos grisalhos está andando rápido,0,Disagreement,OK,S
1760,A mulher está sentada na arquibancada da pista de atletismo.,A mulher está na arquibancada da pista de atletismo.,1,Entailment,OK,N
1761,"Um gato preto e branco está pulando sobre uma cerca azul, verde e cinza",O gato está dormindo.,0,Contradiction,OK,N
1762,Uma mão está segurando um copo com suco de fruta,O copo está vazio,0,Contradiction,OK,N
1763,Os deputados discutem a reforma tributária,Os deputados estão discutindo a reforma educacional.,2,Neutral,OK,N
1764,O espumante está dentro da caixa de papelão em uma mesa de madeira,O vinho tinto está em uma prateleira de madeira,2,Neutral,OK,N
1765,As mulheres estão evitando a interferência,As mulheres não estão aceitando a interferência.,1,Entailment,OK,N
1766,O pão está sendo fatiado com uma faca afiada,Estão cortando o pão com uma lâmina bem afiada.,1,Entailment,OK,N
1767,Uma mulher está feliz com o resultado de seu cabelo alisado,A mulher está vestindo uma camiseta azul,2,Neutral,OK,N
1768,"Diversos animais como carpa, flamingo, raposa, coruja e capivara habitam o parque",O parque não tem nenhum animal.,0,Contradiction,OK,N
1769,Um pote de vidro contém vários pedaços de brownie,Há vários pedaços de brownie em um pote de vidro,1,Entailment,OK,N
1770,Não existe nenhuma mulher preparando a salada,Há um homem preparando a salada.,2,Neutral,OK,N
1771,Não há nenhum gato escalando uma montanha em uma trilha formada por pedras deslizadas,Nenhum felino está subindo uma montanha em um caminho formado por pedras deslizadas,1,Entailment,OK,N
1772,O post fornece orientações sobre a compra de alimentos durante a pandemia do Covid-19,O post contém dicas para comprar alimentos em tempos de Covid-19.,1,Entailment,OK,N
1773,Um guerreiro está polindo sua espada,O guerreiro não está com sua espada,0,Contradiction,OK,N
1774,Uma criança está tomando banho na banheirinha sob a supervisão do pai,A criança está brincando sozinha no quintal,0,Contradiction,OK,N
1775,Dois rapazes estão discutindo em um celeiro para cavalos,Alguns rapazes estão em um celeiro para cavalos,1,Entailment,OK,N
1776,A garota está regando as flores ao lado do portão com um regador,A garota está jogando bola no jardim.,0,Contradiction,OK,N
1777,A sala está cheia de enfeites para festas infantis com tema de tubarão,Há enfeites com tema de tubarão na sala.,1,Entailment,OK,N
1778,A mulher está cozinhando uma refeição vegetariana.,Uma refeição vegetariana está sendo preparada por uma mulher.,1,Entailment,OK,N
1779,Dois indivíduos repousam com malas cheias e mantas aconchegantes,Dois indivíduos estão viajando sem bagagem e sem mantas,0,Contradiction,OK,N
1780,Jovens estão sorrindo e posando na frente e em cima de um carro,Há jovens se divertindo e tirando fotos com um carro,1,Entailment,OK,N
1781,O alpinista está escalando a montanha coberta de gelo e usando um casaco azul,O alpinista está vestindo roupas de frio.,1,Entailment,OK,N
1782,Orquídeas brancas com centros lilás estão dispostas na mesa,As orquídeas estão bem cuidadas.,2,Neutral,OK,N
1783,Um comunicado importante é anunciado abaixo do logotipo da empresa,O logotipo da empresa é de cor azul.,2,Neutral,OK,N
1784,O médico ressalta a importância e o impacto que o peso corporal tem na vida de uma pessoa,O médico desconsidera a relevância do peso corporal na saúde de uma pessoa.,0,Contradiction,OK,N
1785,Dois celulares exibem a atualização recente de nosso aplicativo,Há uma atualização recente em nosso aplicativo,1,Entailment,OK,N
1786,O ensaio foi realizado com apoio e concretizado com sucesso,O ensaio obteve sucesso com o apoio recebido,1,Entailment,OK,N
1787,Quatro cookies de sabores variados estão dispostos em um prato verde,Os cookies são feitos com ingredientes orgânicos,2,Neutral,OK,N
1788,"Atletas, comissão técnica e profissionais se reuniram para uma foto",Um fotógrafo profissional foi contratado para o evento esportivo,2,Neutral,OK,N
1789,"A refeição consiste em arroz com cenoura e passas, batata frita e carne acompanhada de molho branco",A refeição é composta apenas por alimentos vegetais,0,Contradiction,OK,N
1790,Protetor solar está sendo aplicado em uma mão,Uma mão está segurando um prato.,2,Neutral,OK,N
1791,Um pacote de tapioca orgânica de quatrocentas gramas está posicionado em uma bancada verde,A bancada tem um pacote de tapioca orgânica de quatrocentas gramas em cima.,1,Entailment,OK,N
1792,Diversas duplas de alunos estão dançando forró no salão,Os alunos estão usando sapatos de dança.,2,Neutral,OK,N
1793,"A mesa está arranjada com utensílios coloridos ao estilo junino, acompanhada de bolos de milho e pé de moleque",Há bolos de milho e pé de moleque sobre a mesa,1,Entailment,OK,N
1794,Anúncio de um sarau cultural dedicado à luta contra práticas manicomiais,O sarau cultural anunciado não tem relação com a luta contra práticas manicomiais,0,Contradiction,OK,N
1795,A capa do livro é empunhada pelo comentarista de TV sugerindo a leitura,O comentarista de TV tem cabelos grisalhos.,2,Neutral,OK,N
1796,Várias pessoas estão reunidas para comemorar o aniversário do município,Existe uma celebração de aniversário do município.,1,Entailment,OK,N
1797,Um cartaz está divulgando um evento com várias informações relevantes,O cartaz não possui informações sobre o evento.,0,Contradiction,OK,N
1798,Não existe nenhuma mulher preparando a salada,Está ausente a presença de uma mulher preparando a salada.,1,Entailment,OK,N
1799,Um marinheiro está sorrindo para um mergulhador,O marinheiro tem um chapéu.,2,Neutral,OK,N
1800,"Um homem de jaqueta está sentado em pedras, contemplando uma montanha",O homem de jaqueta está lendo um livro.,2,Neutral,OK,N
1801,Um trator está removendo lixo irregular,O trator está sendo usado para plantar sementes.,0,Contradiction,OK,N
1802,A cebola está inteira e intacta.,A cebola não foi cortada ou danificada.,1,Entailment,OK,N
1803,A menina está desenhando um retrato com lápis coloridos,A menina está desenhando o retrato de seu gato de estimação com lápis coloridos,2,Neutral,OK,N
1804,Há um homem segurando uma bengala.,O homem está esperando um ônibus.,2,Neutral,OK,N
1805,A câmera apontada para o leopardo saltitante está sendo desligada,A câmera está capturando cada movimento do leopardo saltitante.,0,Disagreement,OK,S
1806,Duas mãos seguram um prato de penne ao molho de tomate,Duas mãos estão segurando um copo de água,0,Contradiction,OK,N
1807,Um jovem casal está correndo perto da praia no final da tarde,Existe um casal jovem praticando exercícios perto da praia no final da tarde.,1,Entailment,OK,N
1808,As duas cantoras estão se apresentando e sorrindo,Há uma performance musical acontecendo.,1,Entailment,OK,N
1809,Um indivíduo está pilotando um quadriciclo nas dunas,O indivíduo está fazendo manobras radicais no quadriciclo.,2,Neutral,OK,N
1810,"Uma mesa está arrumada com taças, copos, pratos e guardanapos","A mesa está vazia, sem qualquer item em cima.",0,Contradiction,OK,N
1811,Alguém está segurando o rímel na altura do rosto,A pessoa está segurando o rímel com a mão esquerda,2,Neutral,OK,N
1812,O casal está escutando música enquanto percorre a avenida principal em um conversível vermelho,Um dos membros do casal está usando óculos de sol,2,Neutral,OK,N
1813,O gato está descansando tranquilamente no sofá da varanda,O gato preto está descansando tranquilamente no sofá da varanda.,2,Neutral,OK,N
1814,O homem está tocando a flauta,O homem está tocando guitarra,0,Contradiction,OK,N
1815,Um policial militar está na rua,Não há nenhum policial na rua.,0,Contradiction,OK,N
1816,Uma criança desfavorecida compartilha seu biscoito com seu filhote de cachorro,A criança desfavorecida tem um biscoito.,1,Entailment,OK,N
1817,O gato preto e o gato branco estão se divertindo no jardim,Os gatos estão dentro de casa.,0,Contradiction,OK,N
1818,Uma jovem está posicionada entre uma porta com uma perna estendida e os braços apoiados nos batentes,Há uma jovem apoiando-se em uma porta,1,Entailment,OK,N
1819,"Um vasto oceano está repleto de peixes, algas e conchas",O oceano está vazio,0,Contradiction,OK,N
1820,"Há um lanche disponível que inclui linguiça, carnes, frangos e batata frita",Existe uma opção de comida com várias carnes e batata frita,1,Entailment,OK,N
1821,Existe um voluntário diferente em cada um de nós,O voluntariado é uma experiência gratificante.,2,Neutral,OK,N
1822,Duas garrafas de vinho estão posicionadas à frente de sua caixa de madeira,As garrafas de vinho estão fora de sua caixa,1,Entailment,OK,N
1823,A lua cheia brilha no céu noturno,A lua não está visível no céu,0,Contradiction,OK,N
1824,O rapaz adolescente tem um animal de estimação em casa.,Existe um animal de estimação na casa do rapaz adolescente,1,Entailment,OK,N
1825,Uma mão está enchendo uma seringa com líquido de vacinação enquanto a outra mão segura o pote com o líquido,A seringa está sendo preparada para vacinação.,1,Entailment,OK,N
1826,Não há ninguém jogando futebol na praia,A praia está vazia de jogadores de futebol,1,Entailment,OK,N
1827,A jovem está diante de um cartaz que promove educação sexual,A moça está em frente a um cartaz de promoção da educação sexual,1,Entailment,OK,N
1828,Um homem está organizando as cebolas,Um indivíduo está arrumando as cebolas.,1,Entailment,OK,N
1829,Uma criança está utilizando um aparelho celular,Uma criança está usando um telefone móvel,1,Entailment,OK,N
1830,Um indivíduo está passeando de patinete motorizado,Um indivíduo está em movimento sobre um patinete motorizado.,1,Entailment,OK,N
1831,Um pé de maconha é visível ao amanhecer,Existe uma planta de maconha que pode ser vista durante o amanhecer.,1,Entailment,OK,N
1832,O professor está ensinando aula de história para a turma de estudantes.,O professor está dando uma aula de história,1,Entailment,OK,N
1833,O grupo de dança está deitado na área de convivência,O grupo de dança está dançando na área de convivência,0,Contradiction,OK,N
1834,Uma imagem dela mesma e de outra mulher está sendo capturada pela senhora,A senhora está tirando uma foto de si mesma e de outra mulher,1,Confusing,P,S
1835,A maquiadora está segurando o produto para sobrancelhas,O produto para sobrancelhas está sendo segurado por uma maquiadora,1,Entailment,OK,N
1836,Três garrafas de vinho estão deitadas em um nicho de adega,As garrafas de vinho estão de pé,0,Contradiction,OK,N
1837,Uma mandala talhada em MDF apresenta detalhes em preto,A mandala de MDF possui um formato circular.,2,Neutral,OK,N
1838,"A unha artificial de acrílico esculpido é removida, com o processo sendo documentado desde o início até o final",A unha natural sob a unha artificial de acrílico é saudável,2,Neutral,OK,N
1839,Uma mulher cadeirante está analisando documentos,Uma mulher cadeirante não está analisando documentos,0,Contradiction,OK,N
1840,O espaço para crianças no shopping tem um dragão inflável e um escorregador que simula fogo,Há um dragão inflável no espaço para crianças no shopping,1,Entailment,OK,N
1841,Não há nenhum gato brincando livremente no jardim,Há um cachorro brincando no jardim,2,Neutral,OK,N
1842,A mulher está dançando elegantemente e tocando a harpa,A mulher está usando um vestido vermelho.,2,Neutral,OK,N
1843,"Diferentes tipos de linhaça são representados em forma de cápsula, óleo e farinha","A linhaça pode ser consumida em forma de cápsula, óleo ou farinha",1,Entailment,OK,N
1844,A borboleta está voando ao redor da mulher.,A borboleta está pousada numa árvore longe da mulher.,0,Contradiction,OK,N
1845,"Três policiais mascarados estão de costas, confrontados por uma jovem loira sem máscara",A jovem loira está de frente para os policiais mascarados.,1,Entailment,OK,N
1846,Uma mulher de guarda-chuva está caminhando perto de um café,Uma pessoa com um guarda-chuva está andando perto de um estabelecimento comercial,1,Entailment,OK,N
1847,Três bicicletas estão posicionadas em diferentes paisagens naturais,As bicicletas estão ao ar livre.,1,Entailment,OK,N
1848,Dois garotos estão escondidos atrás de uma pilha de caixotes de madeira,Há dois meninos atrás de uma pilha de caixotes de madeira,1,Entailment,OK,N
1849,Dois amigos estão percorrendo a estrada em uma motocicleta,Está havendo uma viagem de motocicleta.,1,Entailment,OK,N
1850,A menina criou uma montagem com fotos de várias pessoas,A menina não tem fotos de várias pessoas,0,Contradiction,OK,N
1851,Um indivíduo está driblando uma bola de basquete entre as mãos,Uma pessoa está brincando com uma bola de basquete,1,Disagreement,OK,S
1852,Uma mulher está assoprando bolhas de sabão na direção do seu gato,A mulher não está assoprando bolhas de sabão para o gato,0,Contradiction,OK,N
1853,Um piloto de avião está tranquilo e estático,O piloto de avião está lendo um livro,2,Confusing,P,S
1854,Uma mulher está deixando cair o taco de beisebol,A mulher está segurando firmemente o taco de beisebol,0,Contradiction,OK,N
1855,Indivíduos estão se reunindo em um estande na exposição,Não há ninguém no estande na exposição.,0,Contradiction,OK,N
1856,Uma mulher de vestido azul está de pé ao lado de uma bicicleta branca no parque,A bicicleta branca pertence à mulher de vestido azul,2,Neutral,OK,N
1857,Um piano está sendo tocado por um jovem talento,O jovem talento toca vários instrumentos.,2,Neutral,OK,N
1858,Dois grupos de pessoas diversas estão sorrindo,As pessoas estão comendo.,2,Neutral,OK,N
1859,A orientadora reforça a importância da publicação de trabalhos de conclusão de curso para a sociedade,A publicação de trabalhos de conclusão de curso é destacada como importante pela orientadora,1,Entailment,OK,N
1860,Um louva-a-deus gigante é apresentado na exposição,Não há nenhum animal na exposição.,0,Contradiction,OK,N
1861,O presidente está cumprimentando o povo,O presidente está ignorando o povo.,0,Contradiction,OK,N
1862,Uma mãe feliz segura seu filho bebê enquanto considera o uso de probióticos para tratar cólica,A mãe está alimentando seu bebê com uma mamadeira.,2,Neutral,OK,N
1863,"Um homem está sentado à mesa, sorrindo e olhando diretamente para a câmera",O homem está encarando a parede.,0,Contradiction,OK,N
1864,Uma mãe feliz está colocando um capacete de segurança em seu filho sorridente durante um dia ensolarado no parque,Há uma bicicleta perto deles.,2,Neutral,OK,N
1865,"Várias pessoas estão de pé, segurando um documento, posando para uma foto",Um grupo de pessoas está posando para uma foto com um documento em mãos.,1,Entailment,OK,N
1866,Um pequeno armário com gavetas está no canto da cozinha,O armário pequeno com gavetas está posicionado na cozinha,1,Entailment,OK,N
1867,Estamos reabastecendo a prateleira do supermercado com feijão,Existem latas de sopa na prateleira ao lado.,2,Neutral,OK,N
1868,"Uma mulher está de costas, se observando em um espelho",A mulher está de frente para o espelho,0,Contradiction,OK,N
1869,Um sujeito robusto está parado em uma boutique de artigos esportivos,O sujeito robusto está correndo em uma boutique de artigos esportivos.,0,Contradiction,OK,N
1870,Um esquiador está descendo uma montanha próxima a um lago cristalino,A pessoa está praticando esportes de inverno.,1,Entailment,OK,N
1871,Não existem crianças brincando com um pião,Ninguém está brincando com um pião.,1,Entailment,OK,N
1872,A realização é feita de que a mudança de pensamentos pode levar à mudança na vida,A mudança de pensamentos não causa nenhum efeito na vida,0,Contradiction,OK,N
1873,A cesta está cheia e ninguém a está esvaziando,Existem itens dentro da cesta.,1,Entailment,OK,N
1874,A professora não está ensinando nada na sala de aula,A professora está vestindo um casaco azul hoje.,2,Neutral,OK,N
1875,"Essa equipe de socorristas está realizando treinamento de resgate em alto mar, equipados com bóias de segurança",A equipe de socorristas está equipada com bóias de segurança.,1,Entailment,OK,N
1876,Um coqueiro balança ao vento em um dia ensolarado,Um menino está jogando bola perto do coqueiro.,2,Neutral,OK,N
1877,O líder fala que o segredo é continuar persistindo,O chefe aconselha a continuar persistindo.,1,Entailment,OK,N
1878,"Hoje é o dia especial dedicado ao chocolate, uma comida muito amada pelos brasileiros",Chocolate é um alimento rico em antioxidantes,2,Neutral,OK,N
1879,A rodovia federal está passando por reformas,Há obras de manutenção na rodovia federal.,1,Entailment,OK,N
1880,Um indivíduo está derramando vinho tinto extraído de uvas maduras em uma taça de cristal,O indivíduo que derrama o vinho tinto está usando um smoking preto,2,Neutral,OK,N
1881,O público e os palestrantes de um evento estão de mãos dadas em um auditório cheio,Um dos palestrantes está vestindo um terno azul.,2,Neutral,OK,N
1882,Dois adolescentes não estão sentados no banco do parque,Dois adolescentes estão descansando no banco do parque,0,Contradiction,OK,N
1883,A pessoa está participando de um bloco de carnaval,A pessoa está vestida com uma fantasia de palhaço.,2,Neutral,OK,N
1884,Um tatu de coloração marrom e com carapaça feita de placas duras é visto entre pedras,O tatu é branco e está em um campo aberto,0,Contradiction,OK,N
1885,Um romano está usando um lenço de senhora,O romano está vestindo um lenço feminino,1,Confusing,P,S
1886,O homem não está colocando sal no peixe,O homem está fritando o peixe,2,Neutral,OK,N
1887,"A menina veste um pijama feminino, composto por uma blusa branca e shorts estampados de oncinha",A menina gosta de usar pijamas confortáveis.,2,Neutral,OK,N
1888,O bolo está sendo preparado por um homem,O homem que está preparando o bolo usa um avental azul.,2,Neutral,OK,N
1889,Uma torta salgada de legumes tem uma fatia cortada,Há uma fatia cortada da torta salgada de legumes,1,Entailment,OK,N
1890,Uma estátua dourada tem o formato de um cachorro,A estátua é feita de ouro puro,2,Neutral,OK,N
1891,Um estudo afirma que o riso é o remédio mais eficaz contra a dor,Rir é uma maneira de melhorar o humor,2,Neutral,OK,N
1892,Não há nenhum garoto gargalhando enquanto lança bolhas de sabão no focinho de um gato,Não há criança brincando com bolhas de sabão e um gato.,1,Entailment,OK,N
1893,Duas plantas estão posicionadas em frente a uma parede de mármore,Há uma planta ao lado da parede de mármore,2,Neutral,OK,N
1894,Comida está sendo consumida por um corredor descansando na pista,O corredor na pista está bebendo água,2,Neutral,OK,N
1895,A couve pode trazer muitos benefícios para a saúde,A couve não tem valor nutricional,0,Contradiction,OK,N
1896,O seminário discute maneiras de combater as fake news,Estão sendo discutidas estratégias para enfrentar a desinformação,1,Entailment,OK,N
1897,Foliões estão celebrando em uma avenida da capital,Foliões estão dançando samba,2,Neutral,OK,N
1898,O caule central se mescla com a base da copa de uma árvore que se divide em diversos galhos,As folhas da árvore são verdes e viçosas,2,Neutral,OK,N
1899,"Um profissional paramentado realiza uma simulação de atendimento a uma parada cardiorrespiratória, executando compressões torácicas de alta qualidade",Paciente recebe atendimento de um profissional paramentado durante uma simulação de acidente vascular cerebral.,2,Neutral,OK,N
1900,Um gato está escalando a árvore,O gato está em uma árvore,1,Entailment,OK,N
1901,Um pote de barro contendo tremoços está posicionado sobre um azulejo decorativo com borda de madeira,O pote de barro vazio está em um tapete de tecido,0,Contradiction,OK,N
1902,A mulher está caminhando na praia,A mulher está andando no centro da cidade,0,Contradiction,OK,N
1903,Uma mão feminina está segurando um celular que mostra a capa do jornal de hoje,A mulher está lendo o jornal no celular.,2,Neutral,OK,N
1904,Um dos brinquedos da criança está quebrado,A criança está brincando com blocos de construção,2,Neutral,OK,N
1905,Algumas meninas estão posando com sorrisos no rosto,Algumas meninas estão posando e parecem felizes,1,Entailment,OK,N
1906,Indivíduos com maior sensibilidade ao álcool têm menor probabilidade de se tornarem dependentes dessa substância,Uma pessoa que se sente afetada pelo álcool rapidamente tem menos chances de se tornar alcoólatra,1,Entailment,OK,N
1907,A sala principal do pronto socorro está vazia hoje,Não há ninguém na sala principal do pronto socorro hoje,1,Entailment,OK,N
1908,Espumas do mar são visíveis com o reflexo do céu na areia molhada,Não é possível ver as espumas do mar refletidas na areia,0,Contradiction,OK,N
1909,Um noivo de terno preto está esperando ansiosamente,Um homem de terno preto está aguardando com ansiedade,1,Entailment,OK,N
1910,O atleta conquistou a medalha de prata na prova de salto,O atleta ganhou a segunda colocação na prova de salto,1,Entailment,OK,N
1911,Uma mulher está rasgando a manga de um casaco de lã abandonado com uma tesoura,A mulher está com frio.,2,Neutral,OK,N
1912,"Durante a noite, cidadãos estão com cilindros de oxigênio verdes",Os cilindros de oxigênio não estão presentes na cena.,0,Contradiction,OK,N
1913,A garrafa de vidro está cheia de água mineral,A garrafa de vidro está vazia,0,Contradiction,OK,N
1914,O letreiro da nossa empresa está localizado em frente ao prédio,Não há letreiro algum em frente ao prédio.,0,Contradiction,OK,N
1915,O satélite brasileiro foi lançado,O satélite brasileiro não foi lançado,0,Contradiction,OK,N
1916,Uma cafeteira de alumínio possui alça e pegador de plástico preto,A cafeteira possui pegador de plástico preto,1,Entailment,OK,N
1917,Um homem está fazendo uma pausa em seu treino na academia para comer uma barrinha de cereal,O homem está consumindo uma barrinha de cereal durante seu treino na academia.,1,Entailment,OK,N
1918,Um garoto com terno se assemelha a um homem,O garoto está vestindo calções.,0,Contradiction,OK,N
1919,"Um conjunto feminino infantil, composto por uma camiseta rosa e calça preta, está à venda","Um conjunto masculino infantil, composto por uma camiseta azul e calça preta, está à venda",2,Neutral,OK,N
1920,O apresentador está conduzindo o programa,O apresentador está vestindo um terno azul,2,Neutral,OK,N
1921,Não existe nenhum cavaleiro salvando a donzela,A donzela está esperando por um príncipe,2,Neutral,OK,N
1922,Os ciclistas estão subindo a montanha de maneira dispersa.,Alguns ciclistas estão pedalando em uma montanha.,1,Entailment,OK,N
1923,O gato está incrivelmente tocando o piano,Existe um gato que sabe tocar piano.,1,Entailment,OK,N
1924,O interior de uma loja de roupas está sendo reformulado para a nova estação,A loja de roupas não está sendo modificada,0,Contradiction,OK,N
1925,Existe uma mulher tocando um piano.,Ninguém está tocando o piano.,0,Contradiction,OK,N
1926,O garoto moreno com a camiseta verde está rindo e usando um chapéu engraçado com orelhas de coelho anexadas,O garoto moreno está usando um chapéu com orelhas de coelho.,1,Entailment,OK,N
1927,Uma bailarina está de pé no ombro de um acrobata,A bailarina tem um vestido azul,2,Neutral,OK,N
1928,Uma mão está segurando um copo com suco de fruta,Alguém está segurando um copo,1,Entailment,OK,N
1929,Duas mulheres estão tocando violão e cantando para um público animado,Algumas pessoas estão cantando para um público,1,Entailment,OK,N
1930,"Eles pediram sanduíches grelhados recheados com queijo e presunto, cortados ao meio",Eles pediram sanduíches veganos.,0,Contradiction,OK,N
1931,Laços roxos e amarelos com pingente de sereia estão à venda,Não há laços disponíveis para compra.,0,Contradiction,OK,N
1932,Ninguém está mexendo em nenhum relógio,Alguém está ajustando um relógio,0,Contradiction,OK,N
1933,O homem está preparando uma salada.,O homem não está cozinhando nada.,0,Contradiction,OK,N
1934,A presidente do diretório e estudantes está discursando durante a manifestação,A presidente do diretório estudantil tem cabelos castanhos,2,Neutral,OK,N
1935,Um gato preto e branco está caçando um rato cinza em um celeiro antigo,O gato preto e branco tem belos olhos verdes.,2,Neutral,OK,N
1936,Um jovem de cabelos pretos e camiseta azul marinho está olhando seriamente para uma foto ao lado de uma coluna de concreto,Um jovem está observando uma fotografia ao lado de uma estrutura de concreto.,1,Entailment,OK,N
1937,Uma mulher está plantando flores no jardim sozinha.,Flores estão sendo plantadas por uma mulher no jardim.,1,Entailment,OK,N
1938,Um jovem de cabelos pretos e camiseta azul marinho está olhando seriamente para uma foto ao lado de uma coluna de concreto,O jovem de cabelos pretos e camiseta azul marinho está conversando com um amigo próximo.,2,Neutral,OK,N
1939,Três mulheres estão correndo de mãos dadas com três crianças em um local para práticas esportivas,Há um grupo de pessoas em um local esportivo.,1,Entailment,OK,N
1940,"Quatro crianças escolares estão deitadas no chão, desenhando rostos em um boneco de papel e interagindo entre si",Uma das crianças escolares usa óculos,2,Neutral,OK,N
